STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry
17,31,81202,3357,41.902394,-87.62567,POINT (652433.8707632105 253436.86166259443)
17,31,81300,5540,41.898646,-87.620822,POINT (652849.6765974802 253029.16392936726)
17,31,81401,2508,41.894779,-87.61901,POINT (653030.8251393122 252586.56871794479)
17,31,81402,7052,41.89202,-87.615397,POINT (653340.4010088285 252286.78039149707)
17,31,81403,9843,41.891498,-87.619727,POINT (653009.3253401734 252195.51654858832)
17,31,81500,5917,41.892931,-87.626514,POINT (652466.909456822 252317.4227024904)
17,31,81600,4168,41.892255,-87.628939,POINT (652285.486664285 252221.18126895896)
17,31,81700,5537,41.892832,-87.631881,POINT (652050.8279192351 252268.84469545487)
17,31,81800,11373,41.893087,-87.63828,POINT (651550.8528962596 252254.8567777587)
17,31,81900,1325,41.896859,-87.641585,POINT (651254.7520444896 252676.05043105234)
17,31,90100,3585,42.015328,-87.813391,POINT (636694.7238338178 265452.451833529)
17,31,90200,6626,42.004899,-87.813175,POINT (636817.7606786252 264226.3054228841)
17,31,90300,1314,41.99911,-87.817516,POINT (636539.8952527663 263515.729348462)
17,31,100100,5538,41.989764,-87.782958,POINT (639317.136446806 262648.18496926996)
17,31,100200,7024,41.995329,-87.795552,POINT (638282.8918955018 263218.35607349034)
17,31,100300,6252,41.989344,-87.805905,POINT (637540.5112063694 262444.2099461169)
17,31,100400,3207,41.989191,-87.818709,POINT (636548.3321822968 262340.1580610893)
17,31,100500,6116,41.977912,-87.819643,POINT (636590.6921667374 261006.24675617294)
17,31,100600,4897,41.978673,-87.797135,POINT (638330.1139514442 261247.17396492948)
17,31,100700,4967,41.972164,-87.797881,POINT (638338.6609413518 260476.00143906422)
17,31,110100,5568,41.986035,-87.771189,POINT (640268.7055438246 262288.6926299727)
17,31,110200,2772,41.980612,-87.773003,POINT (640183.4504497434 261638.13353230007)
17,31,110300,5348,41.974407,-87.783144,POINT (639459.7714698697 260839.33483666976)
17,31,110400,4522,41.972339,-87.773202,POINT (640252.7216783401 260663.0279201308)
17,31,110501,4786,41.976703,-87.762006,POINT (641077.1113793916 261252.34755437582)
17,31,110502,3220,41.970424,-87.760432,POINT (641263.6887345295 260523.9417413642)
17,31,120100,4402,42.006409,-87.776236,POINT (639668.4335333613 264652.7400255133)
