GEOID,Census Tracts,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured
40031001600,"Census Tract 16, Comanche County, Oklahoma",1605,32.15,21523,32741,9.4,8.2,79.9
40031001700,"Census Tract 17, Comanche County, Oklahoma",1873,59.69,20703,33140,11.8,32.4,74.9
40031001901,"Census Tract 19.01, Comanche County, Oklahoma",1578,53.42,46908,57905,31.1,4.2,82.4
40031001902,"Census Tract 19.02, Comanche County, Oklahoma",1424,32.94,42957,46255,11.5,13.7,85.9
40031002001,"Census Tract 20.01, Comanche County, Oklahoma",5802,55.95,88864,95303,34.5,5.8,88.7
40031002003,"Census Tract 20.03, Comanche County, Oklahoma",2055,82.87,88287,87542,23.0,8.7,91.0
40031002004,"Census Tract 20.04, Comanche County, Oklahoma",3894,57.04,70365,75604,27.3,8.6,92.4
40031002005,"Census Tract 20.05, Comanche County, Oklahoma",5735,54.04,47522,64792,15.3,12.6,87.0
40031002101,"Census Tract 21.01, Comanche County, Oklahoma",4082,68.37,68996,81856,29.9,6.7,96.8
40031002102,"Census Tract 21.02, Comanche County, Oklahoma",4489,80.80,55521,77268,11.8,7.7,91.8
40031002201,"Census Tract 22.01, Comanche County, Oklahoma",2935,68.38,80785,89490,31.1,5.6,90.2
40031002202,"Census Tract 22.02, Comanche County, Oklahoma",3969,74.70,103635,116345,44.3,4.8,94.6
40031002301,"Census Tract 23.01, Comanche County, Oklahoma",6374,67.89,89659,115614,27.1,6.3,89.6
40031002302,"Census Tract 23.02, Comanche County, Oklahoma",4939,64.22,57300,72001,23.3,6.3,84.3
40031002401,"Census Tract 24.01, Comanche County, Oklahoma",295,60.34,0,0,100.0,0.0,0.0
40031002403,"Census Tract 24.03, Comanche County, Oklahoma",2142,53.59,0,0,24.3,0.0,0.0
40031002405,"Census Tract 24.05, Comanche County, Oklahoma",2786,62.17,61447,75367,42.5,0.0,99.1
40031002406,"Census Tract 24.06, Comanche County, Oklahoma",6587,61.50,46797,54029,17.6,0.3,98.6
40031002500,"Census Tract 25, Comanche County, Oklahoma",2598,43.30,26695,35262,10.9,16.9,83.2
40033871100,"Census Tract 8711, Cotton County, Oklahoma",3545,74.25,55500,75348,18.3,16.4,88.2
40033871200,"Census Tract 8712, Cotton County, Oklahoma",1982,79.72,52188,69880,14.4,16.4,85.2
40035373100,"Census Tract 3731, Craig County, Oklahoma",2989,67.11,46094,59026,12.9,9.3,82.5
40035373200,"Census Tract 3732, Craig County, Oklahoma",2490,61.12,49698,69385,18.4,7.1,84.3
40035373300,"Census Tract 3733, Craig County, Oklahoma",3733,56.39,41563,47624,12.4,19.4,79.2
40035373400,"Census Tract 3734, Craig County, Oklahoma",2695,57.88,37697,56282,12.0,17.9,85.1
40035373500,"Census Tract 3735, Craig County, Oklahoma",2200,63.09,46875,62697,19.9,6.9,85.2
40037020101,"Census Tract 201.01, Creek County, Oklahoma",2333,76.13,64450,111662,29.1,9.8,87.4
40037020102,"Census Tract 201.02, Creek County, Oklahoma",1508,68.77,45076,59520,6.8,18.3,79.4
40037020103,"Census Tract 201.03, Creek County, Oklahoma",2940,79.15,86850,103425,40.9,5.7,92.8
40037020602,"Census Tract 206.02, Creek County, Oklahoma",3417,69.89,55784,62841,13.0,8.5,89.2
