GEOID,POPULATION,TRACTCE
17031805302,3873,805302
17031805401,4056,805401
17031805402,5467,805402
17031805501,3998,805501
17031805502,4295,805502
17031805600,4710,805600
17031805701,5485,805701
17031805702,2089,805702
17031805801,2580,805801
17031805802,5096,805802
17031805901,4341,805901
17031805902,6503,805902
17031806001,5818,806001
17031806002,7833,806002
17031806004,7554,806004
17031806005,3258,806005
17031806006,4885,806006
17031806102,4400,806102
17031806103,5269,806103
17031806104,4134,806104
17031806201,4908,806201
17031806202,4998,806202
17031806300,4687,806300
17031806400,2492,806400
17031806501,2665,806501
17031806502,4202,806502
17031806600,3602,806600
17031806700,4486,806700
17031806801,4294,806801
17031806802,3445,806802
17031806900,5342,806900
17031807000,5866,807000
17031807100,3984,807100
17031807200,6059,807200
17031807300,7718,807300
17031807400,6824,807400
17031807500,3327,807500
17031807600,6705,807600
17031807700,6147,807700
17031807800,2878,807800
17031807900,4201,807900
17031808001,3981,808001
17031808002,5281,808002
17031808100,4010,808100
17031808200,5646,808200
17031808301,6520,808301
17031808302,4367,808302
17031808400,4622,808400
17031808500,4239,808500
17031808600,2465,808600
17031808702,5481,808702
17031808800,3988,808800
17031808900,4149,808900
17031809000,4001,809000
17031809100,3437,809100
17031809200,4980,809200
17031809300,5043,809300
17031809401,2747,809401
17031809402,3374,809402
17031809500,4346,809500
17031809600,3319,809600
17031809700,3714,809700
17031809800,2678,809800
17031809900,3046,809900
17031810000,5640,810000
17031810100,4480,810100
17031810200,6222,810200
17031810301,4105,810301
17031810302,3360,810302
17031810400,5409,810400
17031810501,5293,810501
17031810502,5355,810502
17031810600,4949,810600
17031810701,4865,810701
17031810702,3914,810702
17031810800,5124,810800
17031810900,6360,810900
17031811000,4258,811000
17031811100,6703,811100
17031811200,5401,811200
17031811301,4802,811301
17031811302,3565,811302
17031811401,5001,811401
17031811402,4572,811402
17031811500,6031,811500
17031811600,6053,811600
17031811701,3455,811701
17031811702,5384,811702
17031811800,5644,811800
17031811900,6051,811900
17031812000,5666,812000
17031812100,4763,812100
17031812200,3984,812200
17031812301,4978,812301
17031812302,2681,812302
17031812400,3458,812400
17031812500,3680,812500
17031812600,3898,812600
17031812700,3192,812700
17031812801,3387,812801
17031812802,2521,812802
17031812900,4846,812900
17031813000,3935,813000
17031813100,4678,813100
17031813200,4582,813200
17031813301,3634,813301
17031813302,3858,813302
17031813400,7571,813400
17031813500,7169,813500
17031813600,5443,813600
17031813701,3886,813701
17031813702,4199,813702
17031813801,2856,813801
17031813802,4958,813802
17031813900,6768,813900
17031814000,4706,814000
17031814100,4683,814100
17031814200,7671,814200
17031814300,4690,814300
17031814400,7781,814400
17031814500,5395,814500
17031814600,5616,814600
17031814700,5548,814700
17031814800,6445,814800
17031814900,6557,814900
17031815000,4254,815000
17031815100,4318,815100
17031815200,6901,815200
17031815300,3756,815300
17031815400,5545,815400
17031815500,8310,815500
17031815600,5608,815600
17031815701,4124,815701
17031815702,5302,815702
17031815800,1630,815800
17031815900,4773,815900
17031816000,3307,816000
17031816100,6259,816100
17031816200,4163,816200
17031816300,4778,816300
17031816401,4664,816401
17031816402,4460,816402
17031816500,4262,816500
17031816600,4522,816600
17031816700,2693,816700
17031816800,5765,816800
17031816900,5561,816900
17031817000,5510,817000
17031817101,4563,817101
17031817102,3158,817102
17031817200,4821,817200
17031817300,2799,817300
17031817400,3652,817400
17031817500,3612,817500
17031817600,3825,817600
17031817700,4803,817700
17031817900,5532,817900
17031818000,4428,818000
17031818100,2330,818100
17031818200,4762,818200
17031818300,5922,818300
17031818401,3613,818401
17031818402,3282,818402
17031818500,5650,818500
17031818600,5093,818600
17031818700,3691,818700
17031818800,5692,818800
17031818900,4496,818900
17031819000,4768,819000
17031819100,4600,819100
17031819200,6154,819200
17031819300,2777,819300
17031819400,5686,819400
17031819500,3664,819500
17031819600,4083,819600
17031819700,6028,819700
17031819801,5364,819801
17031819802,2741,819802
17031819900,3514,819900
17031820000,2230,820000
17031820101,7889,820101
17031820103,4285,820103
17031820104,4453,820104
17031820202,3128,820202
17031820203,4038,820203
17031820204,4434,820204
17031820300,5588,820300
17031820400,5556,820400
17031820501,5905,820501
17031820502,5380,820502
17031820603,5530,820603
17031820604,3689,820604
17031820605,4523,820605
17031820606,3866,820606
17031820700,7110,820700
17031820800,3695,820800
17031820901,5582,820901
17031820902,5051,820902
17031821001,5205,821001
17031821002,5764,821002
17031821101,4876,821101
17031821102,4231,821102
17031821200,5641,821200
17031821300,5477,821300
17031821401,2870,821401
17031821402,3200,821402
17031821500,1421,821500
17031821600,4542,821600
17031821700,4859,821700
17031821800,5415,821800
17031821900,5129,821900
17031822000,4343,822000
17031822101,4606,822101
17031822102,4504,822102
17031822200,3929,822200
17031822301,4088,822301
17031822302,4447,822302
17031822400,6362,822400
17031822500,4496,822500
17031822601,4793,822601
17031822602,7296,822602
17031822701,4438,822701
17031822702,3828,822702
17031822801,3258,822801
17031822802,3669,822802
17031822900,2078,822900
17031823001,6624,823001
17031823002,6006,823002
17031823101,4515,823101
17031823102,3642,823102
17031823200,4775,823200
17031823302,5739,823302
17031823303,4581,823303
17031823304,5872,823304
17031823400,4892,823400
17031823500,4301,823500
17031823602,6209,823602
17031823603,2021,823603
17031823604,3509,823604
17031823605,4177,823605
17031823702,7050,823702
17031823703,8659,823703
17031823704,4191,823704
17031823705,4666,823705
17031823801,5873,823801
17031823803,7146,823803
17031823805,3189,823805
17031823806,3847,823806
17031823901,3515,823901
17031823903,4657,823903
17031823904,4043,823904
17031824003,6242,824003
17031824004,5374,824004
17031824005,5933,824005
17031824006,5096,824006
17031824105,7297,824105
17031824106,7021,824106
17031824107,6747,824107
17031824113,6322,824113
17031824114,5299,824114
17031824115,3843,824115
17031824116,5244,824116
17031824119,5456,824119
17031824121,3138,824121
17031824122,6209,824122
17031824123,7753,824123
17031824124,3679,824124
17031824125,4098,824125
17031824126,5951,824126
17031824127,3706,824127
17031824128,4638,824128
17031824129,4357,824129
